,IoCType,InfoSource,IoCCategory,MD5,SHA1,SHA256
71,Hash,F-ISAC,Malware,1CB70176BCE5E95E94113B00501A2A2D,DB8D8B1D6C6F241480CB5A886F73C0FBF3F6E1A8,B158FC11E1D4AEAF9D3111A285CD353EAFF6627E328737A5A242D7EC219F4121
72,Hash,F-ISAC,Malware,A34809F26A22E0127E99597FED9169BF,E3CBEB1608E46F372F98CF6AEE1DE1F843AB0197,02EC7C972494328360052C45EB5EA037F87399E95C879E5E4779D4377EEB0312
73,Hash,F-ISAC,Malware,5CB9C0740B8DAF928C5D6DBBC5DA304F,90069E18448493DF64080CE676B602E88A9F4950,D83B9D63602A10BA7A8964E7CC445EC3F61F65E63D633F5830AFE95845B6D6B9
74,Hash,F-ISAC,Malware,B25B24998800DA7B5CF17879F2EB83ED,47B453B2D15E1F423A195D0A60B10F44E08F0F45,EEF01051934D785543B8FCB7FDE0CE70670018F33B6C22596BB0C176D1B173B6
75,Hash,F-ISAC,Malware,BF10D21E0993182C03867ADC0314E870,D17A09A46DC7A9800E37C398D6CE253903B7C5A9,2ADACAD2AE4DBFD82C6BF661626C413A3E0A3056ACFB80EA35E1B2C4CFA549A5
76,Hash,F-ISAC,Malware,74D98F6A1CAC7F87E6555CA6807E4A91,91E53F62D2D8AB570C6DA8E9E9DD86F55F8329FE,FB880B23C866D292E59913A402650D6CA289C015101FE527E2D817FD27AFBAFE
77,Hash,F-ISAC,Malware,80A0443DF9DC2066B81ACB8C15519E16,D53A1DDF389331C904F57F7DB8F4E556E387200D,24D197DE83E0B3A8ECF9A364E0E14A6B893F081914556F663014EFB5C8445B4D
78,Hash,F-ISAC,Malware,4295F12FD4EB5728D47CA7A5A876F118,C51CF44F63CB6FC93CC9F118816E7D106F9E1511,D8AC263BE39D24E9C6AC5CE7C5FA386F8CD3A39D916F2D05C926D2EDF510CACF
79,Hash,F-ISAC,Malware,FAFEF0200A8389818E31D693B382F3B5,A73DF98004BA2E17C5ABFE7F0F9689CBE99F7FC0,4519FE7B1B2E87FC8074676DDD75CF475E7EC1592BBA790353C294AD411F5411
80,Hash,F-ISAC,Malware,EB8534C9DBA45F1F4C4F69AB994240DF,CF627B25E44DF5D0DC0B2D4B29E8A31E307EEFBC,30EAF44BDA7C35C5DABF93E415BFE304AB9FEF66FF2F055AED79A3D29C62C428
81,Hash,F-ISAC,Malware,33B80A574C6441BAF5409A292AAFB1CF,8048ABA11EA6209D1F49FA4E12741050350557DF,AB007094AFEC534A2AA64436F214866014A664E7399AEAF361790EDE5EEC6B56
82,Hash,F-ISAC,Malware,2CC4534B0DD0E1C8D5B89644274A10C1,735EE2C15C0B7172F65D39F0FD33B9186EE69653,905EA119AD8D3E54CD228C458A1B5681ABC1F35DF782977A23812EC4EFA0288A
83,Hash,F-ISAC,Malware,90B3D46BBAF7B2AF95620C551D22641E,3472BEA87995B19E6AF92268BC980C86ADF73A69,37E148A89664F8742F3C62A23A7AF9A1B772E0ED792FC0FD8106D8AAEC6E7E16
84,Hash,F-ISAC,Malware,918F5ED6D2FC9F112F00F7787C7D86F2,820B411C85A218FD176910A79412F0DCA960A43C,14127A767F5F3BE3A770627BF90D9623D1AEF0EBC01DF047E7141432103F6826
85,Hash,F-ISAC,Malware,692B9AF4E5BC94FC0479D215A81952C5,44FE50E2D6E4F32B48F2E11B821A17800D91A207,3F53B0607BD8AA3CA324E97648FB2AF770307A4DD00711F8DD6A71C61E2AEBA0
86,Hash,F-ISAC,Malware,51AAD9D568A5F0F734D185152D041788,EBFA562F0373575E45B40F4D959B444E624A2F71,BC3F9788FAB22818AF140A2B9B6BB8C6B43734A3871A27CBD1110761D5DC42AC
87,Hash,F-ISAC,Malware,D68180819BB8EB8207DC6AB74C1A4642,05D9CD6D8D433D305600E3CF8E9FBB6079492376,C2092159A11D0E36FF2E2B711F14AED732AA95BBBD673FD94150ADA32FE38254
88,Hash,F-ISAC,Malware,F0F32A04E7E02E2AEEE40C48C2718C1C,C4358A4C5A8E78E8BBC652824EF560A63915D2A8,7A2873D8711E31478D864E9C0EBD37DC50B2B8C3EBE35A69F4409CFD2D58D548
89,Hash,F-ISAC,Malware,DFDE077682D399160EC78F272E49784F,4A1960E29B5268B417ADDFD297EE344D619D2208,E44C6E0B4702E99C8C38E4DEB953FE50426664A8C0207F3BFA5FF08E85F1D4DF
90,Hash,F-ISAC,Malware,A4F19FBA9A5EC97D3560CD43C4BD5507,A00A4778D34FA3F8631250648286A037FF62473E,5489FF8E565D41B96E5AA2D493D71927C5F31BB8593276409FEECF4B2CE92D74
91,Hash,F-ISAC,Malware,79B824BB99B4CC4F5DA880371DE52977,B43FCF53C335663645D277DEFA17656CD3894CA9,02235292B4DBDF34FC9A2AF495F7AF2547B4324032F29D3345DF957BCEDD2DCA
92,Hash,F-ISAC,Malware,B2C2DBC5DC9963C553EC2A9084F4B11A,210F0BF9FB22DEE47B9C11016B6469F273430E53,F2ACE13D905D161655C884119ACBD105971B516A4E7725C0A412B198FC021894
93,Hash,F-ISAC,Malware,75A3B83D2B4131132D76D92190F045EC,6962BEE237E4BEDBD0354DA302F28F04F85642FA,E9892396A29AE075C593FD41DD4F27F987112E9B201A2B161774D6BA494A9811
94,Hash,F-ISAC,Malware,044E2E7C4813ACCDBE030C49CEF3326B,CCD527B7B66374C93FB01101EB7B86C22981492D,DFC8A6DA93481E9DAB767C8B42E2FFBCD08FB813123C91B723A6E6D70196636F
