,IoCType,InfoSource,IoCCategory,IoCValue
197,IP,F-ISAC,Malware,150.158.75.242
198,IP,F-ISAC,Malware,68.183.180.196
199,IP,F-ISAC,Malware,110.40.183.184
200,IP,F-ISAC,Malware,43.129.228.235
201,IP,F-ISAC,Malware,172.81.216.104
202,IP,F-ISAC,Malware,42.193.15.163
203,IP,F-ISAC,Malware,182.61.14.49
204,IP,F-ISAC,Malware,143.244.165.123
205,IP,F-ISAC,Malware,128.199.159.10
206,IP,F-ISAC,Malware,176.113.115.165
207,IP,F-ISAC,Malware,121.199.38.116
208,IP,F-ISAC,Malware,121.5.72.118
209,IP,F-ISAC,Malware,123.57.77.108
210,IP,F-ISAC,Malware,146.0.74.45
211,IP,F-ISAC,Malware,146.0.74.45
212,IP,F-ISAC,Malware,146.0.74.45
213,IP,F-ISAC,Malware,146.0.74.45
214,IP,F-ISAC,Malware,185.51.246.51
215,IP,F-ISAC,Malware,139.198.108.26
216,IP,F-ISAC,Malware,180.76.54.93
217,IP,F-ISAC,Malware,8.210.23.126
218,IP,F-ISAC,Malware,8.210.23.126
219,IP,F-ISAC,Malware,42.192.119.170
220,IP,F-ISAC,Malware,101.43.96.92
221,IP,F-ISAC,Malware,154.202.59.41
222,IP,F-ISAC,Malware,54.80.123.111
223,IP,F-ISAC,Malware,212.60.5.245
224,IP,F-ISAC,Malware,8.140.37.238
225,IP,F-ISAC,Malware,119.23.179.218
226,IP,F-ISAC,Malware,172.87.30.180
227,IP,F-ISAC,Malware,124.223.206.101
228,IP,F-ISAC,Malware,116.204.211.191
229,IP,F-ISAC,Malware,209.133.223.69
230,IP,F-ISAC,Malware,209.133.223.69
231,IP,F-ISAC,Malware,209.133.223.69
232,IP,F-ISAC,Malware,91.240.118.105
233,IP,F-ISAC,Malware,124.223.81.59
234,IP,F-ISAC,Malware,198.46.189.13
235,IP,F-ISAC,Malware,198.46.189.13
236,IP,F-ISAC,Malware,114.132.204.191
237,IP,F-ISAC,Malware,124.223.174.208
238,IP,F-ISAC,Malware,1.14.104.117
239,IP,F-ISAC,Malware,101.34.234.66
240,IP,F-ISAC,Malware,107.174.63.211
241,IP,F-ISAC,Malware,152.136.14.90
242,IP,F-ISAC,Malware,152.136.14.90
243,IP,F-ISAC,Malware,159.75.241.239
244,IP,F-ISAC,Malware,159.223.208.215
245,IP,F-ISAC,Malware,159.223.208.215
246,IP,F-ISAC,Malware,204.48.24.99
247,IP,F-ISAC,Malware,185.186.143.111
248,IP,F-ISAC,Malware,121.5.239.178
249,IP,F-ISAC,Malware,101.34.243.135
250,IP,F-ISAC,Malware,60.205.206.146
251,IP,F-ISAC,Malware,106.13.210.205
252,IP,F-ISAC,Malware,182.61.5.172
253,IP,F-ISAC,Malware,188.244.189.84
254,IP,F-ISAC,Malware,188.244.189.84
255,IP,F-ISAC,Malware,137.184.42.85
256,IP,F-ISAC,Malware,137.184.42.85
257,IP,F-ISAC,Malware,45.155.204.102
258,IP,F-ISAC,Malware,124.222.87.79
259,IP,F-ISAC,Malware,205.185.119.188
260,IP,F-ISAC,Malware,147.182.183.106
261,IP,F-ISAC,Malware,147.182.183.106
262,IP,F-ISAC,Malware,106.13.11.45
263,IP,F-ISAC,Malware,121.37.10.98
264,IP,F-ISAC,Malware,107.172.140.180
265,IP,F-ISAC,Malware,119.45.116.254
266,IP,F-ISAC,Malware,101.132.178.27
267,IP,F-ISAC,Malware,1.15.34.171
268,IP,F-ISAC,Malware,3.88.178.192
269,IP,F-ISAC,Malware,3.88.178.192
270,IP,F-ISAC,Malware,44.235.171.131
271,IP,F-ISAC,Malware,47.57.181.95
272,IP,F-ISAC,Malware,23.94.40.221
273,IP,F-ISAC,Malware,42.192.44.224
274,IP,F-ISAC,Malware,62.197.136.64
275,IP,F-ISAC,Malware,204.44.109.84
276,IP,F-ISAC,Malware,192.53.116.117
277,IP,F-ISAC,Malware,123.206.47.78
278,IP,F-ISAC,Malware,13.69.25.214
279,IP,F-ISAC,Malware,49.232.200.51
280,IP,F-ISAC,Malware,165.227.104.189
281,IP,F-ISAC,Malware,165.227.104.189
282,IP,F-ISAC,Malware,101.35.14.224
283,IP,F-ISAC,Malware,101.42.223.198
284,IP,F-ISAC,Malware,101.43.223.187
285,IP,F-ISAC,Malware,78.128.112.215
286,IP,F-ISAC,Malware,47.94.3.175
287,IP,F-ISAC,Malware,150.158.193.194
288,IP,F-ISAC,Malware,173.82.134.187
289,IP,F-ISAC,Malware,110.42.133.113
290,IP,F-ISAC,Malware,120.26.50.204
291,IP,F-ISAC,Malware,119.91.127.214
292,IP,F-ISAC,Malware,119.91.127.214
293,IP,F-ISAC,Malware,185.7.214.247
294,IP,F-ISAC,Malware,81.70.91.60
295,IP,F-ISAC,Malware,23.227.193.154
296,IP,F-ISAC,Malware,23.227.193.154
297,IP,F-ISAC,Malware,104.232.108.188
298,IP,F-ISAC,Malware,114.115.249.149
299,IP,F-ISAC,Malware,180.76.161.95
300,IP,F-ISAC,Malware,180.76.161.95
301,IP,F-ISAC,Malware,8.130.23.157
